winner_refer_hash,white_list_score,class
8C62ED7AF57E9A06E3BF95F85A44677CEEE0AB804BAB53D7C64953F373F3BD61,80,TIER1
1F12605D493395B31FC3DFE0135597BBE01FF9B6BCE63AFDD551345805838686,123,TIER1
7EC2B5D1B54E0722FA37A466346373476B334C0F3C346934B7A4D51F25B92BD1,98,TIER1
0FA5A65F01AAA1AD3DF06E58537057A304244BDDD4B9E22B4E208B9469A665DA,86,TIER1
2AB8A9D49E943C220A6E7A6E7A251535E6314F0C32EB33A47D6ECBA9E50B1F44,102,TIER1
EED6C6BCD3080CCFC0D82C88275DFCE99E89BD4AB64CE3E2B1381FFD006B4DEE,102,TIER1
AD3F0FC1F283D589C32D570C3580184C46459FD3329F454780B829A66081844D,88,TIER1
EF46888E5AA3AD215E02147290BAE3DE784D65A1F36352DF15621107F13365E7,111,TIER1
530E4BC3217E4D38DBAA17E1641D22CE1BC5256B224FA4D41D9026CA190AA750,98,TIER1
9BA1757D29B243D629848E7A0F4B8F25BB0E381E034F6FFFB90DF1BF812ADFF1,86,TIER1
20B144A8FB363B976DA63ADF6759CB647972E2EB5568DC2A145F16F193A60E04,121,TIER1
956EB3A1BD4417B7394BC43911C25A2FC988BA1A4FBF6D3B9D5B69722E75A84F,96,TIER1
CF0DD2044A0E688060DF5CFCB8C7488970EFFD6E84DDED9FECF045D0ABA77212,100,TIER1
63E6393A641780E4CB90CF3909AA9EA6AAABA6148411CB5FB96C9F75E7B62DB5,108,TIER1
AB80AB8FB2371DCC8CA5BEE0C41D9A3801D8C76CDE77A78592A302854E755A21,113,TIER1
3F4E38F18F5F4ADE020B445C43603A956B47745CC7E953198CFAD4DB3E91DE00,86,TIER1
069A7D53AD84BD1DBABBDA08129F7A9EB99018E2297130B49C470C95FDD9ED9B,100,TIER1
A9DAA75A14EDD46DDBF19F5BC677863A45FABAC4A45E9826208E3AD52D05890D,100,TIER1
CB16527BD477F323F47A11AD4AC354207EC1043CF5B8ABE3F4AC7E29AC62293C,111,TIER1
6A86C83E681FE76600EF6F2584111E5884B7FEB84544FE212A660E0644364515,110,TIER1
0532899CD28101EF11AC3059B3E1AD6CFF8ED6DDBD373535729855DFA23A2785,98,TIER1
767EFA96EA52B1B5CA195178A19E67D959A079009B43DC13A702F6435249BA9D,100,TIER1
5CD7333FF1808A6B317CD79E92795349A13BD418C16EE70692C2096E027A2A37,100,TIER1
098AC715EBF8C8052B32CEE5B4AAC71C7B51429AA31C71D2BBB02B974C31C36D,102,TIER1
84E46F7A72A27550DFF4F16C71FB9C2F05A4441FD8BAEA3F4BA2849E053BC032,100,TIER1
D570D1F22E2FCFC2609E6D35C1FA8820181928852BC37F8A15010756516279FB,65,TIER1
BF59F1F48AAAE7CF5D0035B0E651507943C7F4BD7832EF909A7474479871DADC,100,TIER1
EEB48FA11429A06A00071047AD74E48FA2834117D7DD3F33BD2C0E3ACB52FC82,88,TIER1
4E8D96F07904032A0D119E01C22550EE777A2B821C31AF7E35D49DDA87EA95B6,90,TIER1
FC6A4A880F07214D1D668E2530BDC918D988710A8E0D6D16099AC5F7951A2CD3,96,TIER1
